,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Internship_Experience,Placement
0,101,8.34,7.87,9,7,9,3,0.0,0
1,120,7.97,7.76,1,9,9,2,1.0,1
2,107,5.07,4.81,9,2,5,4,0.0,0
3,106,7.72,8.11,8,1,9,2,1.0,1
4,97,6.72,6.9,6,7,3,3,0.0,0
5,70,9.84,9.79,4,2,8,2,0.0,1
6,90,7.31,7.77,3,8,2,0,1.0,0
7,102,5.69,6.09,6,3,4,0,0.0,0
8,88,5.84,5.94,2,9,7,1,0.0,0
9,102,9.4,9.03,2,10,7,4,0.0,0
10,94,8.92,8.84,10,2,8,0,1.0,0
11,110,8.97,9.11,8,1,6,1,0.0,0
12,104,9.92,10.14,8,3,5,0,0.0,0
13,112,5.38,5.76,4,9,9,4,0.0,1
14,112,8.08,8.25,1,8,9,1,1.0,1
15,118,7.59,8.05,8,1,3,3,0.0,1
16,112,7.53,7.08,1,5,8,5,1.0,1
17,102,8.93,8.78,5,9,6,2,1.0,0
18,95,5.82,6.11,6,10,8,1,0.0,0
19,121,8.67,9.03,8,10,10,5,0.0,1
20,97,6.9,6.45,3,2,5,2,1.0,0
21,98,5.42,5.2,3,8,7,4,0.0,0
22,109,8.61,8.53,8,9,3,5,0.0,0
23,77,9.93,9.85,9,0,5,1,0.0,0
24,96,9.2,9.15,10,8,9,4,1.0,1
25,108,6.36,6.85,4,4,5,1,1.0,0
26,91,9.53,9.4,4,6,1,1,0.0,0
27,85,9.25,8.92,10,0,5,3,0.0,0
28,73,8.74,8.72,4,1,5,5,1.0,0
29,98,5.66,5.46,8,6,10,0,1.0,0
30,100,5.73,5.52,10,8,1,1,1.0,0
31,99,5.17,5.31,9,7,1,4,1.0,0
32,80,8.02,7.76,1,5,7,2,1.0,0
33,118,9.0,8.55,2,4,3,3,0.0,1
34,88,7.77,7.97,4,8,2,2,1.0,0
35,138,8.68,9.05,4,8,9,2,1.0,1
36,102,7.75,7.59,9,6,10,2,1.0,0
37,96,6.13,6.59,3,8,4,1,1.0,0
38,108,5.32,5.71,4,2,4,1,1.0,0
39,99,9.82,9.8,3,5,4,5,1.0,0
40,87,9.97,10.29,6,10,5,1,1.0,0
41,109,7.88,7.61,10,3,2,1,1.0,0
42,113,6.07,5.97,7,7,6,0,0.0,0
43,118,5.54,5.45,1,5,9,4,0.0,1
44,92,5.59,6.02,3,9,3,4,1.0,0
45,79,8.65,8.32,5,6,1,5,0.0,0
46,116,8.26,8.26,5,7,7,5,1.0,1
47,79,9.51,9.47,9,10,10,3,0.0,1
48,101,7.66,7.6,1,8,10,2,0.0,0
49,108,6.22,6.28,7,2,10,4,0.0,0
50,75,8.45,8.85,9,6,8,3,1.0,1
51,105,5.35,5.76,1,3,10,5,0.0,0
52,102,6.27,5.83,10,6,6,4,0.0,0
53,76,9.31,8.99,2,1,4,3,0.0,0
54,116,9.09,9.31,7,4,2,5,0.0,1
55,83,8.45,8.17,9,6,6,4,0.0,0
56,98,7.45,7.24,9,3,3,2,1.0,0
57,101,5.38,5.02,7,6,5,3,1.0,0
58,121,6.46,6.74,7,10,5,5,0.0,0
59,140,9.42,9.11,2,4,3,5,0.0,1
60,80,9.03,8.93,8,8,1,1,1.0,0
61,91,6.67,6.97,6,8,9,0,0.0,0
62,79,5.62,5.8,10,2,9,0,0.0,0
63,104,9.75,9.32,4,8,10,4,1.0,1
64,79,6.99,6.92,8,10,1,3,0.0,0
65,119,7.97,7.5,5,8,7,0,1.0,0
66,92,8.21,8.32,7,0,3,3,0.0,0
